userId,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lastOnlineTs,lang_count,lang_fr,lang_de,countDetails,flirtstar,hasBirthday,distance,mobile,online,connectedToFacebook,locked,genderLooking,counts_fans,counts_g,isInfluencer,shareProfileEnabled,isfreshman,crypt,isSystemProfile,ISpicture,ISinsta2,ISemoji2,IS_lang_pt_es_en_it,nameN,cityN,locationCityN,locationCitySubN,countryN
50770cf26f37f3186400009c,25.0,18.0,12050.0,478.0,0.0,1.0,1.0,0.0,0.0,1428437514.0,1.0,0.0,1.0,0.85,0.0,0.0,162.0,1.0,0.0,0.0,0.0,M,7.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Zug,nan,CH
508103fb883fa9e833000226,24.0,12.0,26982.0,710.0,1.0,0.0,1.0,0.0,1.0,1428502966.0,1.0,0.0,1.0,1.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,M,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Other,nan,CH
5081f53b0c84d34f350003ac,24.0,7.0,1820.0,25.0,1.0,1.0,0.0,0.0,0.0,1430048705.0,1.0,0.0,1.0,0.96,0.0,0.0,128.0,1.0,1.0,0.0,0.0,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Olten,Other,nan,CH
508759df2d15de2f3a000153,22.0,18.0,11507.0,194.0,1.0,0.0,0.0,0.0,1.0,1428488055.0,1.0,0.0,1.0,0.96,0.0,0.0,76.9,0.0,0.0,0.0,0.0,none,58.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Bern,nan,CH
5095ab72a9d0b35655000043,21.0,10.0,17655.0,468.0,1.0,1.0,1.0,0.0,1.0,1430043723.0,1.0,0.0,1.0,0.92,0.0,0.0,138.0,1.0,0.0,0.0,0.0,M,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Other,nan,CH
509e925c1b0ba0713600001f,21.0,11.0,47000.0,1469.0,1.0,0.0,0.0,0.0,1.0,1428442940.0,2.0,0.0,1.0,0.81,0.0,0.0,144.0,1.0,0.0,0.0,0.0,M,82.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Other,Other,L̦rrach,nan,DE
509fd03890c8fd376b000007,19.0,8.0,12754.0,368.0,1.0,1.0,1.0,0.0,0.0,1428505257.0,4.0,1.0,1.0,0.77,0.0,0.0,144.0,1.0,1.0,0.0,0.0,M,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Other,Olten,Aarau,nan,CH
50a2cd101b0ba03874000031,19.0,3.0,7694.0,143.0,1.0,1.0,1.0,0.0,0.0,1430011055.0,4.0,1.0,1.0,0.12,0.0,0.0,135.0,1.0,0.0,0.0,0.0,M,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,...,Other,Basel,nan,CH
50a44709ca61be6127000084,25.0,20.0,4372.0,134.0,1.0,0.0,0.0,0.0,0.0,1430044395.0,1.0,0.0,1.0,0.92,0.0,0.0,139.0,1.0,0.0,0.0,0.0,M,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Other,Other,Luzern,nan,CH
50a88f797acab1596d00006c,22.0,5.0,9700.0,124.0,1.0,0.0,0.0,0.0,0.0,1428489012.0,1.0,0.0,1.0,0.19,0.0,0.0,183.0,1.0,0.0,0.0,0.0,M,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Other,nan,CH
